date,open,high,low,close,volume
2024-10-30,1449.56,1475.75,1447.97,1456.56,32006
2024-10-31,1456.71,1464.56,1444.56,1452.35,29957
2024-11-01,1445.56,1469.69,1445.36,1458.31,32284
2024-11-04,1469.49,1474.56,1452.62,1472.76,29093
2024-11-05,1464.56,1502.26,1460.57,1501.55,45640
2024-11-06,1499.56,1513.55,1485.78,1495.56,37631
2024-11-07,1487.02,1578.06,1486.86,1573.7,74739
2024-11-08,1585.45,1591.67,1525.57,1534.53,60771
2024-11-11,1514.56,1534.51,1491.75,1522.57,43854
2024-11-12,1513.56,1547.56,1498.51,1501.76,49223
2024-11-13,1492.56,1511.22,1485.84,1503.06,29125
2024-11-14,1494.56,1519.01,1490.21,1498.36,29248
2024-11-15,1493.56,1508.36,1477.56,1483.56,33761
2024-11-18,1486.56,1500.55,1479.56,1483.56,27092
2024-11-19,1489.56,1493.93,1449.56,1466.48,33266
2024-11-20,1467.56,1478.53,1455.86,1469.37,21345
2024-11-21,1468.43,1473.55,1456.56,1469.69,18262
2024-11-22,1465.71,1472.33,1432.38,1432.38,33436
2024-11-25,1435.56,1456.56,1421.23,1423.13,33186
2024-11-26,1423.13,1443.44,1413.44,1433.56,25745
2024-11-27,1433.56,1446.71,1429.56,1443.61,25934
2024-11-28,1446.56,1449.55,1426.56,1442.56,23952
2024-11-29,1441.56,1479.56,1437.77,1450.3,36088
2024-12-02,1450.56,1454.55,1439.66,1449.56,26820
2024-12-03,1448.56,1453.46,1440.64,1451.3,24807
2024-12-04,1444.63,1448.22,1434.56,1444.56,23924
2024-12-05,1435.42,1442.42,1434.56,1435.56,16141
2024-12-06,1437.56,1463.46,1432.63,1445.57,32040
2024-12-09,1446.58,1454.28,1437.76,1443.36,19800
2024-12-10,1494.56,1504.29,1469.74,1471.15,60312
2024-12-11,1464.56,1479.56,1455.54,1460.16,29671
2024-12-12,1456.58,1490.56,1453.56,1490.36,41937
2024-12-13,1474.57,1479.55,1443.44,1443.56,49512
2024-12-16,1445.56,1453.56,1435.27,1451.76,32537
2024-12-17,1450.55,1493.56,1445.57,1482.56,54172
2024-12-18,1482.53,1501.56,1471.66,1496.06,41162
2024-12-19,1489.7,1492.49,1474.89,1475.57,24809
2024-12-20,1479.57,1490.24,1468.46,1470.44,28158
2024-12-23,1471.44,1486.44,1465.44,1474.89,21603
2024-12-24,1473.44,1492.44,1470.03,1487.26,22105
2024-12-25,1487.24,1487.24,1474.54,1478.44,17123
2024-12-26,1482.44,1487.22,1471.44,1476.23,18287
2024-12-27,1477.34,1484.44,1467.94,1477.41,20759
2024-12-30,1482.41,1492.4,1473.44,1473.44,25130
2024-12-31,1473.84,1493.44,1470.45,1472.44,39354
2025-01-02,1472.44,1472.93,1428.44,1436.44,50029
2025-01-03,1442.94,1443.43,1415.45,1423.44,32628
2025-01-06,1401.44,1411.1,1381.24,1388.44,44255
2025-01-07,1393.1,1400.33,1387.44,1388.64,24221
2025-01-08,1388.44,1400.26,1375.1,1390.94,35258
2025-01-09,1397.43,1413.02,1381.42,1392.44,29706
2025-01-10,1395.54,1400.39,1384.44,1384.44,21872
2025-01-13,1373.44,1392.88,1370.45,1392.42,21083
2025-01-14,1393.39,1427.12,1390.44,1420.94,30957
2025-01-15,1415.44,1423.04,1408.45,1419.71,18399
2025-01-16,1422.44,1431.1,1390.44,1394.82,26342
2025-01-17,1394.83,1409.44,1394.82,1403.19,18309
2025-01-20,1409.44,1438.23,1408.44,1423.24,31410
2025-01-21,1429.44,1430.44,1413.44,1416.59,16856
2025-01-22,1411.71,1416.39,1386.44,1389.44,28294
2025-01-23,1398.41,1416.44,1386.44,1391.44,27125
2025-01-24,1390.44,1396.23,1378.75,1384.44,31360
2025-01-27,1385.44,1392.41,1375.46,1383.43,29356
2025-02-05,1388.44,1391.44,1350.65,1352.24,40757
2025-02-06,1348.45,1370.43,1348.45,1361.28,27356
2025-02-07,1362.12,1391.12,1351.85,1384.44,37242
2025-02-10,1386.44,1388.44,1375.53,1379.95,20840
2025-02-11,1383.39,1384.4,1364.34,1366.44,23573
2025-02-12,1366.44,1393.44,1365.32,1391.44,25476
2025-02-13,1391.46,1423.69,1382.95,1413.5,43385
2025-02-14,1413.5,1425.44,1406.66,1423.44,27100
2025-02-17,1429.44,1443.42,1415.54,1420.06,32471
2025-02-18,1418.44,1441.43,1410.52,1423.44,27800
2025-02-19,1423.49,1442.88,1413.34,1439.44,32393
2025-02-20,1431.44,1440.41,1421.83,1422.44,23750
